,Event_Name,Check_Event,NPC_Name,Required_Events,Required_Events_Or_1,Required_Events_Or_2,Required_Events_And_1,Required_Events_And_2,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Completed
502,trainer endurance training available 11,TRUE,Trainer,trainer endurance training available 11,,,,,Set:trainer intro 1,Event:Training 11#Event_Action=FadeAssist_180,,,,,,
503,start_race11,TRUE,Trainer,start_race11,,,,,NULL,,,,,,,
504,end_race11,TRUE,Trainer,end_race11,,,,,Event:first_race11,Remove:start_race11,Remove:end_race11,,,,,
505,first_race11,TRUE,Tutorial,first_race11,,,,,Set_Narrator:narrator endurance training upgrade1,Event:NarratorTrain11#Event_Action=Cue_Narrator_Dialogue,,,,,,
506,training_start11_after,TRUE,Trainer,training_start11_after,,,,trainer endurance training available 11,Set:trainer endurance training 11 repeat,Unprompted_Dialogue:NULL,Remove:training_start11_after,,,,,
507,trainer endurance training 11 repeat,TRUE,Trainer,trainer endurance training 11 repeat,,,,,Set:trainer intro 1,Event:Training 11#Event_Action=FadeAssist_180,Remove:trainer endurance training 11 repeat,Event:start_race11,,,,
508,training_activate12,TRUE,Trainer,training_activate12,,,,,Call:Wait=2|Event=training_start12,Remove:training_activate12,,,,,,
509,training_start12,TRUE,Trainer,training_start12,,,,,Set:trainer explains shrines12,Unprompted_Dialogue:NULL,Event:shrines12,Remove:training_start12,,,,
510,trainer explains shrines12,TRUE,Trainer,trainer explains shrines12,,,,,Set:trainer intro 1,Remove:trainer explains shrines12,,,,,,
511,shrines12,TRUE,Trainer,shrines12,,,,,Quest_Start:quest shrines intro 1,Quest_Start:quest shrines intro 2,Quest_Start:quest shrines intro 3,Quest_Start:quest shrines intro 4,Quest_Start:quest shrines intro 5,,,
512,unset_camera_cue41,TRUE,Trainer,unset_camera_cue41,,,,,Event:hide_camera_cue41,Remove:lakeside_camera_cue41,Remove:unset_camera_cue41,Event:Training 41unblock#Event_Action=Unblock_Combat,Remove:hide_camera_cue41,Quest_Completed:quest objective learn to fight,,
513,unset_camera_cue42,TRUE,Trainer,unset_camera_cue42,,,,,Event:hide_camera_cue42,Remove:lakeside_camera_cue42,Remove:unset_camera_cue42,Event:Training 42unblock#Event_Action=Unblock_Combat,Remove:hide_camera_cue42,Quest_Completed:quest objective learn to fight,,
514,unset_camera_cue43,TRUE,Trainer,unset_camera_cue43,,,,,Event:hide_camera_cue43,Remove:lakeside_camera_cue43,Remove:unset_camera_cue43,Event:Training 43unblock#Event_Action=Unblock_Combat,Remove:hide_camera_cue43,Quest_Completed:quest objective learn to fight,,
515,Stressed out mom intro,TRUE,Stressed out mom,Stressed out mom intro,,,,,Call:set_not_visible,Event:start_follow_smokebomb_kid1_pre,,,,,,
516,start_follow_smokebomb_kid1_pre,TRUE,Stressed out mom,start_follow_smokebomb_kid1_pre,,,,,Event:lake_camera_cue23,Call:Wait=1|Event=start_follow_smokebomb_kid1,,,,,,
517,start_follow_smokebomb_kid1,TRUE,Smokebomb kid,start_follow_smokebomb_kid1,,,,,Call:check_sight,Lost:smokebomb_round1_lost,Event:start_follow_smokebomb_kid1a,,,,,
518,start_follow_smokebomb_kid1a,TRUE,Smokebomb kid,start_follow_smokebomb_kid1a,,,,,Call:Wait=20|Event=smokebomb_round1_complete,Event:hide_camera_cue23,,,,,,
519,smokebomb_round1_lost,TRUE,Stressed out mom,smokebomb_round1_lost,,,,,Set:Stressed out mom 1 fail,Event:lost_smokebomb_kid1,Event:round1_lose,,,,,
520,smokebomb_round1_complete,TRUE,Stressed out mom,smokebomb_round1_complete,,,,,Set:Stressed out mom 1 success,Call:uncheck_sight,Event:conclude_round1,Event:round1_win,,,,
521,lost_smokebomb_kid1,TRUE,Smokebomb kid,lost_smokebomb_kid1,,,,,Call:cancel_wait,Call:smokebomb,Call:uncheck_sight,Call:Wait=4|Event=conclude_round1,Remove:lost_smokebomb_kid1,,,
522,conclude_round1,TRUE,Stressed out mom,conclude_round1,,,,,Event:lake_camera_cue22,Call:Wait=2|Event=round1_dialogue,,,,,,
523,round1_dialogue,TRUE,Stressed out mom,round1_dialogue,,,,,NULL,,,,,,,
524,Stressed out mom 1 fail,TRUE,Stressed out mom,Stressed out mom 1 fail,,,,,Event:hide_camera_cue22,Call:set_not_visible,Event:start_follow_smokebomb_kid2_pre,,,,,
525,Stressed out mom 1 success,TRUE,Stressed out mom,Stressed out mom 1 success,,,,,Event:hide_camera_cue22,Call:set_not_visible,Event:start_follow_smokebomb_kid2_pre,,,,,
526,start_follow_smokebomb_kid2_pre,TRUE,Stressed out mom,start_follow_smokebomb_kid2_pre,,,,,Event:lake_camera_cue23,Call:Wait=1|Event=start_follow_smokebomb_kid2,,,,,,
527,start_follow_smokebomb_kid2,TRUE,Smokebomb kid,start_follow_smokebomb_kid2,,,,,Call:check_sight,Call:set_visible,Lost:smokebomb_round2_lost,Event:start_follow_smokebomb_kid2a,,,,
528,start_follow_smokebomb_kid2a,TRUE,Smokebomb kid,start_follow_smokebomb_kid2a,,,,,Call:Wait=30|Event=smokebomb_round2_complete,Event:hide_camera_cue23,,,,,,
529,smokebomb_round2_lost,TRUE,Stressed out mom,smokebomb_round2_lost,,,,,Set:Stressed out mom 2 fail,Event:lost_smokebomb_kid2,Event:round2_lose,,,,,
530,smokebomb_round2_complete,TRUE,Stressed out mom,smokebomb_round2_complete,,,,,Set:Stressed out mom 2 success,Call:uncheck_sight,Event:conclude_round2,Event:round2_win,,,,
531,lost_smokebomb_kid2,TRUE,Smokebomb kid,lost_smokebomb_kid2,,,,,Call:cancel_wait,Call:smokebomb,Call:uncheck_sight,Call:Wait=4|Event=conclude_round2,Remove:lost_smokebomb_kid2,,,
532,conclude_round2,TRUE,Stressed out mom,conclude_round2,,,,,Event:lake_camera_cue22,Call:Wait=2|Event=round2_dialogue,,,,,,
533,round2_dialogue,TRUE,Stressed out mom,round2_dialogue,,,,,NULL,,,,,,,
534,Stressed out mom 2 fail,TRUE,Stressed out mom,Stressed out mom 2 fail,,,,,Event:hide_camera_cue22,Call:set_not_visible,Event:start_follow_smokebomb_kid3_pre,,,,,
535,Stressed out mom 2 success,TRUE,Stressed out mom,Stressed out mom 2 success,,,,,Event:hide_camera_cue22,Call:set_not_visible,Event:start_follow_smokebomb_kid3_pre,,,,,
536,start_follow_smokebomb_kid3_pre,TRUE,Stressed out mom,start_follow_smokebomb_kid3_pre,,,,,Event:lake_camera_cue23,Call:Wait=1|Event=start_follow_smokebomb_kid3,,,,,,
537,start_follow_smokebomb_kid3,TRUE,Smokebomb kid,start_follow_smokebomb_kid3,,,,,Call:check_sight,Call:set_visible,Lost:smokebomb_round3_lost,Event:start_follow_smokebomb_kid3a,,,,
538,start_follow_smokebomb_kid3a,TRUE,Smokebomb kid,start_follow_smokebomb_kid3a,,,,,Call:Wait=40|Event=smokebomb_round3_complete,Event:hide_camera_cue23,,,,,,
539,smokebomb_round3_lost,TRUE,Stressed out mom,smokebomb_round3_lost,,,,,Set:Stressed out mom 3 fail,Event:lost_smokebomb_kid3,Event:round3_lose,,,,,
540,smokebomb_round3_complete,TRUE,Stressed out mom,smokebomb_round3_complete,,,,,Set:Stressed out mom 3 success,Call:uncheck_sight,Event:conclude_round3,Event:round3_win,,,,
541,lost_smokebomb_kid3,TRUE,Smokebomb kid,lost_smokebomb_kid3,,,,,Call:cancel_wait,Call:smokebomb,Call:uncheck_sight,Call:Wait=4|Event=conclude_round3,Remove:lost_smokebomb_kid3,,,
542,conclude_round3,TRUE,Stressed out mom,conclude_round3,,,,,Event:lake_camera_cue22,Call:Wait=2|Event=round3_dialogue,,,,,,
543,round3_dialogue,TRUE,Stressed out mom,round3_dialogue,,,,,NULL,,,,,,,
544,Stressed out mom 3 fail,TRUE,Stressed out mom,Stressed out mom 3 fail,,,,,Event:hide_camera_cue22,Event:set_smokebomb_prize1,,,,,,
545,Stressed out mom 3 success,TRUE,Stressed out mom,Stressed out mom 3 success,,,,,Event:hide_camera_cue22,Event:set_smokebomb_prize1,,,,,,
546,hide_camera_cue22,TRUE,Smokebomb kid,hide_camera_cue22,,,,,Call:set_visible,Remove:lake_camera_cue22,Remove:hide_camera_cue22,,,,,
547,hide_camera_cue23,TRUE,Smokebomb kid,hide_camera_cue23,,,,,Call:set_visible,Remove:lake_camera_cue23,Remove:hide_camera_cue23,,,,,
548,round1_win,TRUE,Smokebomb kid,round1_win,,,,,Event:round12_win,Event:round13_win,,,,,,
549,round2_win,TRUE,Smokebomb kid,round2_win,,,,,Event:round12_win,Event:round23_win,,,,,,
550,round3_win,TRUE,Smokebomb kid,round3_win,,,,,Event:round23_win,Event:round13_win,,,,,,
551,round12_win,TRUE,Smokebomb kid,round12_win,,,round1_win,round2_win,Event:round123_win,Event:rounds_won2,,,,,,
552,round23_win,TRUE,Smokebomb kid,round23_win,,,round2_win,round3_win,Event:round123_win,Event:rounds_won2,,,,,,
553,round13_win,TRUE,Smokebomb kid,round13_win,,,round1_win,round3_win,Event:round123_win,Event:rounds_won2,,,,,,
554,round123_win,TRUE,Smokebomb kid,round123_win,,,round1_win,round23_win,Event:rounds_won3,,,,,,,
555,set_smokebomb_prize1,TRUE,Stressed out mom,set_smokebomb_prize1,,,,,Set:Stressed out mom prize1,Event:set_smokebomb_prize2,,,,,,
556,set_smokebomb_prize2,TRUE,Stressed out mom,set_smokebomb_prize2,,,,rounds_won2,Set:Stressed out mom prize2,Event:set_smokebomb_prize3,,,,,,
557,set_smokebomb_prize3,TRUE,Stressed out mom,set_smokebomb_prize3,,,,rounds_won3,Set:Stressed out mom prize3,,,,,,,
558,Stressed out mom prize1,TRUE,Stressed out mom,Stressed out mom prize1,,,,,Set:Stressed out mom coda,Set_Narrator:narrator smokebomb prize1,Event:smokebomb_charm_available,Call:Wait=2|Event=smokebomb_end_narrator,,,,
559,Stressed out mom prize2,TRUE,Stressed out mom,Stressed out mom prize2,,,,,Set:Stressed out mom coda,Set_Narrator:narrator smokebomb prize2,Event:smokebomb_charm_available,Call:Wait=2|Event=smokebomb_end_narrator,,,,
560,Stressed out mom prize3,TRUE,Stressed out mom,Stressed out mom prize3,,,,,Set:Stressed out mom coda,Set_Narrator:narrator smokebomb prize3,NULL,Call:Wait=2|Event=smokebomb_end_narrator,,,,
561,smokebomb_end_narrator,TRUE,Stressed out mom,smokebomb_end_narrator,,,,,Event:NarratorSmokebombEnd=Cue_Narrator_Dialogue,Event:protection_charm1,,,,,,
562,smokebomb_nearby,TRUE,Stressed out mom,smokebomb_nearby,,,,smokebomb_charm_available,Set_Narrator:narrator smokebomb charm nearby,Event:NarratorSmokebombCharmNearby=Cue_Narrator_Dialogue,,,,,,
563,protection_charm1,TRUE,Tutorial,protection_charm1,,,,,Event:smokebomb_charm_hide,,,,,,,
564,last fisherman 1,TRUE,Last fisherman,last fisherman 1,,,,,Set:last fisherman 2,Remove:last fisherman 1,,,,,,
565,last fisherman 2,TRUE,Last fisherman,last fisherman 2,,,,,Set:last fisherman 1,Remove:last fisherman 2,,,,,,
566,shepherdgs2 1,TRUE,ShepherdGS3,shepherdgs2 1,,,,,Set:shepherdgs3 2,,,,,,,
567,sheep_pen_rt,TRUE,ShepherdGS3,sheep_pen_rt,,,,,Set:shepherdgs3 4,Event:river_camera_cue1,,,,,,
568,shepherdgs3 4,TRUE,ShepherdGS3,shepherdgs3 4,,,,,Event:river_camera_cue2,Quest_Completed:quest grass sea shepherd,,,,,,
569,river_camera_cue2,TRUE,ShepherdGS2,river_camera_cue2,,,,,Set:shepherdgs2 2,Event:shepherd_bye,,,,,,
570,shepherdgs2 2,TRUE,ShepherdGS2,shepherdgs2 2,,,,,Set:shepherdgs2 3,,,,,,,
571,shepherd_bye,TRUE,ShepherdGS2,shepherd_bye,,,,,Event:shepherd_bye1,Event:shepherd_bye2,,,,,,
572,shepherd_bye1,TRUE,ShepherdGS2,shepherd_bye1,,,,act2_sc2_set12,Set:shepherdgs2 10,,,,,,,
573,shepherd_bye2,TRUE,ShepherdGS2,shepherd_bye2,,,,lost_sheep_rt4,Set:shepherdgs2 11,,,,,,,
574,red flower with blue leaves After2,TRUE,Cook,red flower with blue leaves After2,,,,,Set:cook2,,,,,,,
575,recruit_finished,TRUE,Mayor2,recruit_finished,,,,,Set:mayor welcome complete,,,,,,,
576,mayor welcome complete,TRUE,Mayor2,mayor welcome complete,,,,,Set:messenger needs help,Quest_Completed:quest rally mages,Event:lake_camera_cue24,Call:Wait=0.25|Event=mayor welcome completeB,,,,
577,mayor welcome completeB,TRUE,Mayor2,mayor welcome completeB,,,,,Event:messenger_reveal,Call:Wait=0.5|Event=mayor welcome completeC,,,,,,
578,mayor welcome completeC,TRUE,Messenger,mayor welcome completeC,,,,,Unprompted_Dialogue:NULL,,,,,,,
579,messenger needs help,TRUE,Mayor2,messenger needs help,,,,,Quest_Start:quest start resistance,Event:act1_sc2_end,Event:act1_scene3_start,Set:messenger needs help2,,,,
580,mayor act1 exposition,TRUE,Mayor1_start,mayor act1 exposition,,,,,Event:mayor act1 expositionB,Quest_Completed:quest start resistance,,,,,,
581,mayor act1 expositionB,TRUE,Scout3,mayor act1 expositionB,,,,,Set:scout3 act1 exposition1,Unprompted_Dialogue:NULL,,,,,,
582,scout3 act1 exposition1,TRUE,Scout3,scout3 act1 exposition1,,,,,Quest_Start:quest sabotage raiders,Set:choose to free the prisoners,Event:scout3 act1 expositionB,,,,,
583,scout3 act1 expositionB,TRUE,Mayor1_start,scout3 act1 expositionB,,,,,Set:choose to sabotage the raiders,,,,,,,
584,choose to sabotage the raiders,TRUE,Mayor1_start,choose to sabotage the raiders,,,,,Quest_Completed:quest sabotage raiders,Quest_Start:quest sabotage raiders 2,Event:forest_camera_cue15a,Event:prison_hide,,,,
585,choose to free the prisoners,TRUE,Scout3,choose to free the prisoners,,,,,Quest_Completed:quest sabotage raiders,Quest_Start:quest free prisoners,Event:forest_camera_cue15a,Event:forest_sabotage_hide,,,,
586,forest_camera_cue15a,TRUE,Mayor1_start,forest_camera_cue15a,,,,,Call:Wait=0.25|Event=exposition end,,,,,,,
587,exposition end,TRUE,Tutorial,exposition end,,,,,Event:Mayor1_start_hide,Event:Scout3_hide,,,,,,
588,forest_sabotage_alert,TRUE,Tutorial,forest_sabotage_alert,,,,,Event:listen_dojo1_reveal,Event:forest_sabotage_alertA,,,,,,
589,forest_sabotage_alertA,TRUE,Tutorial,forest_sabotage_alertA,,,,,Event:forest_sabotage_hide,Event:forest_sabotage_alertAA,,,,,,
590,forest_sabotage_alertAA,TRUE,Mayor1_mid,forest_sabotage_alertAA,,,,choose to sabotage the raiders,Event:rendezvous with mayor,,,,,,,
591,rendezvous with mayor,TRUE,Mayor1_mid,rendezvous with mayor,,,,,Quest_Completed:quest sabotage raiders 2,Quest_Start:quest sabotage raiders3,Event:Mayor1_mid_reveal,Set:choose to sabotage the raiders part 2,,,,
592,forest_prison_open,TRUE,Tunnel Woman,forest_prison_open,,,,,Set:free prisoners,Call:Wait=1|Event=forest_prison_openB,,,,,,
593,forest_prison_openB,TRUE,Tunnel Woman,forest_prison_openB,,,,,Event:forest_camera_cue16,Call:Wait=0.5|Event=forest_prison_openC,,,,,,
594,forest_prison_openC,TRUE,Tunnel Woman,forest_prison_openC,,,,,Unprompted_Dialogue:NULL,,,,,,,
595,free prisoners,TRUE,Tunnel Woman,free prisoners,,,,,Event:forest_camera_cue17,Call:Wait=0.25|Event=prisoners_hide1,,,,,,
596,prisoners_hide1,TRUE,Tutorial,prisoners_hide1,,,,,Event:prisoners_hide,,,,,,,
597,prison_hide,TRUE,Tutorial,prison_hide,,,,,Event:prisoners_hide,,,,,,,
598,forest_camera_cue17,TRUE,Mayor1_mid,forest_camera_cue17,,,,,Quest_Completed:quest free prisoners,Quest_Start:quest rendezvous with mayor,Event:Mayor1_mid_reveal,Set:choose to free the prisoners part 2,,,,
599,choose to free the prisoners part 2,TRUE,Mayor1_mid,choose to free the prisoners part 2,,,,,Quest_Completed:quest rendezvous with mayor,Quest_Start:quest escape through tunnel,Event:forest_camera_cue18,Call:Wait=0.25|Event=Mayor1_mid_hide1,,,,
600,choose to sabotage the raiders part 2,TRUE,Mayor1_mid,choose to sabotage the raiders part 2,,,,,Quest_Completed:quest sabotage raiders3,Quest_Start:quest escape through tunnel,Event:forest_camera_cue18,Call:Wait=0.25|Event=Mayor1_mid_hide1,,,,
601,Mayor1_mid_hide1,TRUE,Tutorial,Mayor1_mid_hide1,,,,,Event:Mayor1_mid_hide,Event:Mayor1_end_reveal,,,,,,
602,mayor tunnel escape,TRUE,Mayor1_end,mayor tunnel escape,,,,,Quest_Completed:quest escape through tunnel,Quest_Start:quest distract the raiders,Event:forest_camera_cue19,Call:Wait=0.25|Event=Mayor1_end_hide,,,,
603,forest_sabotage_alertB,TRUE,Scout4,forest_sabotage_alertB,,,,,Event:forest_sabotage_hideB,,,,,,,
604,forest_sabotage_hideB,TRUE,Scout4,forest_sabotage_hideB,,,,,Quest_Completed:quest distract the raiders,Quest_Start:quest regroup at plateau town,Event:Scout4_reveal,,,,,
605,scout4 waits at tunnel,TRUE,Scout4,scout4 waits at tunnel,,,,,Quest_Completed:quest regroup at plateau town,Quest_Start:quest regroup at plateau town2,Event:act2_sc1_start,WarpTo:PlateauTown,,,,
606,act2_sc1_start,TRUE,Tutorial,act2_sc1_start,,,,,Event:act2_start,Event:act1_end,Event:act1_sc3_end,Event:listen_ruins1_reveal,Event:listen_xroad1_reveal,,,
607,act2_start,TRUE,Refugee Woman,act2_start,,,,,Set:refugee huddle1 2,Quest_Completed:quest miners,,,,,,
608,act1_end,TRUE,Refugee Man,act1_end,,,,,Set:refugee huddle2 2,,,,,,,
609,act1_sc3_end,TRUE,Woman with news,act1_sc3_end,,,,,Set:woman with news2,,,,,,,
610,blue_flower_picked_up,TRUE,Debby Downer,blue_flower_picked_up,,,,,Set:debby downer 2,,,,,,,
611,debby downer 2,TRUE,Debby Downer,debby downer 2,,,,,Set:debby downer 3,,,,,,,
612,Old man with cart exile heal1,TRUE,Old man with cart exile,Old man with cart exile heal1,,,,,Set:old man exile2,,,,,,,
613,Old man with cart exile heal2,TRUE,Old man with cart exile,Old man with cart exile heal2,,,,,Set:old man exile3,,,,,,,
614,Lady cooking exile heal1,TRUE,Lady cooking exile,Lady cooking exile heal1,,,,,Set:lady exile2,,,,,,,
615,Lady cooking exile heal2,TRUE,Lady cooking exile,Lady cooking exile heal2,,,,,Set:lady exile3,,,,,,,
616,Man at tree exile heal1,TRUE,Man at tree exile,Man at tree exile heal1,,,,,Set:man exile2,,,,,,,
617,Man at tree exile heal2,TRUE,Man at tree exile,Man at tree exile heal2,,,,,Set:man exile3,,,,,,,
618,Woman hold cup exile heal1,TRUE,Woman hold cup exile,Woman hold cup exile heal1,,,,,Set:woman exile2,,,,,,,
619,woman exile2,TRUE,Woman hold cup exile,woman exile2,,,,,Set_Narrator:narrator plateau tea,Event:NarratorTeaHealed#Event_Action=Cue_Narrator_Dialogue,Event:TeaHealed1#Event_Action=Fill_Chi,,,,,
620,mayor1_exile pre healing,TRUE,Mayor1_exile,mayor1_exile pre healing,,,,,Quest_Completed:quest regroup at plateau town2,Quest_Start:quest heal survivors,Event:plateau_camera_cue1,Call:Wait=0.25|Event=Mayor1_exile_hide,,,,
621,plateau_camera_cue1,TRUE,Mayor3,plateau_camera_cue1,,,,,Set:mayor3 exile post,,,,,,,
622,shepherd in town2 pre,TRUE,Shepherd in town2,shepherd in town2 pre,,,,,Quest_Completed:quest heal survivors,Quest_Start:quest heal survivors 2,,,,,,
623,ally_woundedP_healed,TRUE,Ally_woundedP,ally_woundedP_healed,,,,,Set:ally woundedP2,,,,,,,
624,ally woundedP2,TRUE,Ally_woundedP,ally woundedP2,,,,,Quest_Completed:quest heal survivors 2,Quest_Start:quest revisit lake town 2,Event:plateau_camera_cue2,Call:Wait=0.25|Event=Ally_woundedP_hide,,,,
625,ally woundedP1,TRUE,Mayor3,ally woundedP1,,,,,Set:mayor3 exile post2,,,,,,,
626,plateau_camera_cue2,TRUE,Mayor1_exile2,plateau_camera_cue2,,,,,Set:mayor1_exile2 post,,,,,,,
627,ally_woundedP_hide,TRUE,Mayor2,Ally_woundedP_hide,,,,,Set:mayor2 start of regroup,,,,,,,
628,mayor2 start of regroup,TRUE,Mayor2,mayor2 start of regroup,,,,,Set:mayor2 regroup quests,Event:mayor2 start of regroupB,,,,,,
629,mayor2 start of regroupB,TRUE,Ally_xroad1pre,mayor2 start of regroupB,,,,,Set:ally_xroad1pre,,,,,,,
630,mayor2 regroup quests,TRUE,Mayor2,mayor2 regroup quests,,,,,Quest_Completed:quest revisit lake town 2,Quest_Start:quest revisit lake dojo 2,Quest_Start:quest revisit mountain town 2,Quest_Start:quest revisit plateau town 2,Event:mayor2 regroup questsB,,,
631,mayor2 regroup questsB,TRUE,Mayor2,mayor2 regroup questsB,,,,,Quest_Start:quest revisit river town 2,Quest_Start:quest revisit riverbend town 2,Quest_Start:quest revisit ruin town 2,Event:act2_sc1_end,Event:act2_sc2_start,,,
632,ally_xroad1pre,TRUE,Ally_xroad1pre,ally_xroad1pre,,,,,Quest_Start:quest fight at xroad,Event:lake_camera_cue25,Call:Wait=0.25|Event=Ally_xroad1pre_hide,,,,,
633,ally_xroad1,TRUE,Ally_xroad1,ally_xroad1,,,,,Quest_Completed:quest fight at xroad,Quest_Start:quest fight at xroad2,Event:ally_xroad1B,Event:lake_camera_cue26,Call:Wait=0.25|Event=Ally_xroad1_hide,,,
634,ally_xroad1B,TRUE,Mayor2,ally_xroad1B,,,,,Set:mayor2 post xroad fight,Event:listen_ruins1_reveal,Event:listen_xroad1_reveal,,,,,
635,act2_sc2_start,TRUE,Teen boy1,act2_sc2_start,,,,,Set:Teen Boy1 2,Event:act2_sc2_set1,Event:act2_sc2_set2,Event:act2_sc2_set4,Event:act2_sc2_set4,,,
636,act2_sc2_set1,TRUE,Birthday girl,act2_sc2_set1,,,,,Set:Birthday Girl 2,Event:act2_sc2_set5,Event:act2_sc2_set6,Event:act2_sc2_set7,Event:act2_sc2_set8,,,
637,act2_sc2_set2,TRUE,Mom with luggage,act2_sc2_set2,,,,,Set:Mom with luggage 2,Event:act2_sc2_set9,Event:act2_sc2_set10,,,,,
638,Mom with luggage 2,TRUE,Mom with luggage,Mom with luggage 2,,,,,Quest_Start:quest river spirits,,,,,,,
639,incense_fairy_rb5,TRUE,Mom with luggage,incense_fairy_rb5,,,,,Set:Mom with luggage 3,Quest_Completed:quest river spirits,,,,,,
640,act2_sc2_set3,TRUE,Woman in town,act2_sc2_set3,,,,,Set:woman in town 2,,,,,,,
641,act2_sc2_set4,TRUE,Woman near garden,act2_sc2_set4,,,,,Set:woman next to garden 2,,,,,,,
642,act2_sc2_set5,TRUE,Woman with cats,act2_sc2_set5,,,,,Set:woman with a lot of cats 2,,,,,,,
643,act2_sc2_set6,TRUE,Mayor3,act2_sc2_set6,,,,,Set:mayor3 exile post3,,,,,,,
644,act2_sc2_set7,TRUE,Woman with news,act2_sc2_set7,,,,,Set:woman with news3,,,,,,,
645,act2_sc2_set8,TRUE,Refugee Woman,act2_sc2_set8,,,,,Set:refugee huddle1 3,,,,,,,
646,act2_sc2_set9,TRUE,Refugee Man,act2_sc2_set9,,,,,Set:refugee huddle2 3,,,,,,,
647,act2_sc2_set10,TRUE,Innkeeper,act2_sc2_set10,,,,,Set:innkeeper4,Event:act2_sc2_set11,Event:act2_sc2_set12,Event:act2_sc2_set13,Event:act2_sc2_set12b,,,
648,act2_sc2_set11,TRUE,ShepherdGS1,act2_sc2_set11,,,,,Set:shepherdgs1 10,,,,,,,
649,act2_sc2_set12,TRUE,ShepherdGS2,act2_sc2_set12,,,,,Set:shepherdgs2 10,Quest_Completed:quest grass sea shepherd,,,,,,
650,act2_sc2_set12b,TRUE,ShepherdGS3,act2_sc2_set12b,,,,,Set:shepherdgs3 2b,,,,,,,
651,shepherdgs1 10,TRUE,ShepherdGS1,shepherdgs1 10,,,,,Quest_Start:quest world tiger,,,,,,,
652,great_tiger_defeated,TRUE,ShepherdGS1,great_tiger_defeated,,,,,Quest_Line_Strike:quest world tiger=1,Set:shepherdgs1 11,,,,,,
653,shepherdgs1 11,TRUE,ShepherdGS1,shepherdgs1 11,,,,,Quest_Completed:quest world tiger,,,,,,,
654,shepherdgs2 10,TRUE,ShepherdGS2,shepherdgs2 10,,,,,Quest_Start:quest world sheep 1,,,,,,,
655,lost_sheep_rt4,TRUE,ShepherdGS2,lost_sheep_rt4,,,,,Quest_Completed:quest world sheep 1,Set:shepherdgs2 11,Event:lake_camera_cue29,Quest_Start:quest world sheep 2,,,,
656,shepherdgs2 11,TRUE,ShepherdGS2,shepherdgs2 11,,,,,Quest_Completed:quest world sheep 2,Quest_Start:quest world sheep 3,,,,,,
657,sheep_rt21,TRUE,Tutorial,sheep_rt21,,,,,Event:nut_exchange,Quest_Completed:quest world sheep 3,,,,,,
658,nut_exchange,TRUE,Tutorial,nut_exchange,,,,,Set_Narrator:narrator sheep luck,Event:NarratorNutExchange#Event_Action=Cue_Narrator_Dialogue,Event:luck_charm2,,,,,
659,shepherd in upper hills 1,TRUE,ShepherdPT2,shepherd in upper hills 1,,,,,Set:shepherd in upper hills 2,,,,,,,
660,shepherd in upper hills 2,TRUE,ShepherdPT2,shepherd in upper hills 2,,,,,Set:shepherd in upper hills 3,,,,,,,
661,shepherd in lower corner 1,TRUE,ShepherdPT4,shepherd in lower corner 1,,,,,Set:shepherd in lower corner 2,,,,,,,
662,shepherd in lower corner 2,TRUE,ShepherdPT4,shepherd in lower corner 2,,,,,Quest_Start:quest good tent 1,,,,,,,
663,good_tent_found,TRUE,ShepherdPT4,good_tent_found,,,,,Quest_Line_Strike:quest good tent 1=1,Set:shepherd in lower corner 3,Event:plateau_camera_cue3,,,,,
664,shepherd in lower corner 3,TRUE,Tutorial,shepherd in lower corner 3,,,,,Quest_Completed:quest good tent 1,Set_Narrator:narrator luck charm,Event:NarratorGoodTent#Event_Action=Cue_Narrator_Dialogue,Event:luck_charm1,,,,
665,good_tent_hide,TRUE,Tutorial,good_tent_hide,,,,,Event:Good_Tent_Hide#Event_Action=EndAssist,,,,,,,
666,sheep_pen_pt,TRUE,ShepherdPT3,sheep_pen_pt,,,,,Set:shepherd in lower hills 2,Event:plateau_camera_cue5,,,,,,
667,shepherd in lower hills 2,TRUE,ShepherdPT3,shepherd in lower hills 2,,,,,Event:plateau_camera_cue4,Quest_Completed:quest shepherds plateau,,,,,,
668,plateau_camera_cue3_post,TRUE,Tutorial,plateau_camera_cue3_post,,,,,Event:plateau_camera_cue3_destroy,,,,,,,
669,plateau_camera_cue4_post,TRUE,Tutorial,plateau_camera_cue4_post,,,,,Event:plateau_camera_cue4_destroy,,,,,,,
670,plateau_camera_cue5_post,TRUE,Tutorial,plateau_camera_cue5_post,,,,,Event:plateau_camera_cue5_destroy,,,,,,,
671,worried woman with clue,TRUE,dog_pt2,worried woman with clue,,,,,Quest_Start:quest world missing dog,Set:dog_pt2 2,,,,,,
672,dog_pt2 2,TRUE,Worried Woman,dog_pt2 2,,,,,Quest_Line_Strike:quest world missing dog=1,Set:worried woman after,Event:plateau_camera_cue6,,,,,
673,worried woman after,TRUE,Worried Woman,worried woman after,,,,,Quest_Completed:quest world missing dog,Set:worried woman after2,,,,,,
674,river_camera_cue2_post,TRUE,Tutorial,river_camera_cue2_post,,,,,Event:river_camera_cue2_destroy,,,,,,,
675,act2_sc2_set13,TRUE,Engrossed person,act2_sc2_set13,,,,,Set:Engrossed person 2,Event:act2_sc2_set14,Event:act2_sc2_set15,Event:act2_sc2_set16,,,,
